YEAR,TBONDS,SPSTOCK,TBONDS_D,SPSTOCK_D
1928,1,44,1,1
1929,4,-8,1,0
1930,NA,-25,NA,0
1931,-3,-44,0,0
1932,9,-9,1,0
1933,2,50,1,1
1934,8,-1,1,0
1935,4,47,1,1
1936,5,32,1,1
1937,1,-35,1,0
1938,4,29,1,1
1939,4,-1,1,0
1940,5,-11,1,0
1941,-2,-13,0,0
1942,NA,19,NA,1
1943,2,25,1,1
1944,3,19,1,1
1945,4,36,1,1
1946,3,-8,1,0
1947,1,5,1,1
1948,2,6,1,1
1949,5,18,1,1
1950,NA,31,NA,1
1951,0,24,0,1
1952,2,18,1,1
1953,4,-1,1,0
1954,3,53,1,1
1955,-1,33,0,1
1956,-2,7,0,1
1957,7,-10,1,0
1958,-2,44,0,1
1959,NA,12,NA,1
1960,12,0,1,0
1961,2,27,1,1
1962,6,-9,1,0
1963,2,23,1,1
1964,4,16,1,1
1965,NA,12,NA,1
1966,3,-10,1,0
1967,-2,24,0,1
1968,3,11,1,1
1969,-5,-8,0,0
1970,17,4,1,1
1971,10,14,1,1
1972,3,19,1,1
1973,4,-14,1,0
1974,2,-26,1,0
1975,4,37,1,1
1976,16,24,1,1
1977,1,-7,1,0
1978,-1,7,0,1
1979,1,19,1,1
1980,-3,32,0,1
1981,8,-5,1,0
1982,33,20,1,1
1983,3,22,1,1
1984,14,6,1,1
1985,26,31,1,1
1986,24,18,1,1
1987,-5,6,0,1
1988,8,17,1,1
1989,18,31,1,1
1990,6,-3,1,0
1991,15,30,1,1
1992,9,7,1,1
1993,14,10,1,1
1994,-8,1,0,1
1995,23,37,1,1
1996,1,23,1,1
1997,10,33,1,1
1998,15,28,1,1
1999,-8,21,0,1
2000,17,-9,1,0
2001,NA,-12,NA,0
2002,15,-22,1,0
2003,0,28,0,1
2004,4,11,1,1
2005,3,5,1,1
2006,2,16,1,1
2007,10,5,1,1
2008,20,-37,1,0
2009,-11,26,0,1
2010,8,15,1,1
2011,16,2,1,1
2012,3,16,1,1
2013,-9,32,0,1
2014,11,14,1,1
2015,1,1,1,1
